# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8K of event 'cpu_core/cycles/'
# Event count (approx.): 3777751798
#
# Overhead  Command  Shared Object      Symbol                                                                                                 
# ........  .......  .................  .......................................................................................................
#
     7.55%  p2pd     p2pd               [.] runtime.greyobject
     6.47%  p2pd     [igc]              [k] igc_rd32
     6.39%  p2pd     p2pd               [.] runtime.scanobject
     3.52%  p2pd     p2pd               [.] runtime.findObject
     2.83%  p2pd     p2pd               [.] runtime.mallocgc
     2.43%  p2pd     p2pd               [.] runtime.gcDrain
     2.35%  p2pd     p2pd               [.] runtime.scanblock
     1.43%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a79a08d
     1.36%  p2pd     p2pd               [.] runtime.stealWork
     1.14%  p2pd     p2pd               [.] runtime.(*mspan).heapBitsSmallForAddr
     0.97%  p2pd     p2pd               [.] runtime.step
     0.93%  p2pd     p2pd               [.] runtime.procyield.abi0
     0.92%  p2pd     p2pd               [.] runtime.getempty
     0.88%  p2pd     p2pd               [.] runtime.(*mspan).writeHeapBitsSmall
     0.87%  p2pd     p2pd               [.] runtime.memmove
     0.80%  p2pd     p2pd               [.] runtime.(*lfstack).push
     0.74%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a920d4b
     0.74%  p2pd     p2pd               [.] runtime.typePointers.next
     0.73%  p2pd     p2pd               [.] runtime.growslice
     0.73%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a920a28
     0.72%  p2pd     p2pd               [.] runtime.(*spanSet).pop
     0.70%  p2pd     p2pd               [.] runtime.memclrNoHeapPointers
     0.61%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a6cec3c
     0.58%  p2pd     p2pd               [.] syscall.ParseNetlinkMessage
     0.54%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a741a17
     0.52%  p2pd     p2pd               [.] runtime.netpoll
     0.50%  p2pd     p2pd               [.] runtime.findRunnable
     0.49%  p2pd     p2pd               [.] runtime.pcvalue
     0.47%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a60d1df
     0.44%  p2pd     p2pd               [.] syscall.ParseNetlinkRouteAttr
     0.43%  p2pd     p2pd               [.] runtime.findfunc
     0.43%  p2pd     p2pd               [.] runtime.checkTimers
     0.42%  p2pd     p2pd               [.] runtime.(*unwinder).resolveInternal
     0.41%  p2pd     p2pd               [.] runtime.(*spanSet).push
     0.41%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a93797c
     0.41%  p2pd     p2pd               [.] runtime.(*stkframe).getStackMap
     0.40%  p2pd     p2pd               [.] runtime.(*mspan).typePointersOfUnchecked
     0.37%  p2pd     p2pd               [.] runtime.(*sweepLocked).sweep
     0.36%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8998e987
     0.34%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a79a09a
     0.34%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a740bdb
     0.34%  p2pd     p2pd               [.] runtime.markroot
     0.32%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a937999
     0.30%  p2pd     p2pd               [.] runtime.trygetfull
     0.30%  p2pd     p2pd               [.] runtime.casgstatus
     0.27%  p2pd     p2pd               [.] runtime.mapassign_fast64
     0.26%  p2pd     p2pd               [.] runtime.newMarkBits
     0.25%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a92ea5e
     0.24%  p2pd     p2pd               [.] runtime.(*mcache).releaseAll
     0.23%  p2pd     p2pd               [.] runtime.retake
     0.23%  p2pd     p2pd               [.] runtime.unlock2
     0.23%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a86c094
     0.22%  p2pd     p2pd               [.] runtime.adjustframe
     0.21%  p2pd     p2pd               [.] runtime.(*sysMemStat).add
     0.21%  p2pd     p2pd               [.] runtime.(*pallocBits).summarize
     0.20%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a0ae66c
     0.20%  p2pd     p2pd               [.] runtime.futex.abi0
     0.20%  p2pd     p2pd               [.] runtime.gcmarknewobject
     0.20%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89a0d3a1
     0.20%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a40ea96
     0.20%  p2pd     p2pd               [.] runtime.lock2
     0.20%  p2pd     p2pd               [.] net/http.init.func14
     0.19%  p2pd     p2pd               [.] runtime.(*mcentral).cacheSpan
     0.19%  p2pd     p2pd               [.] runtime.sysmon
     0.19%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89b8ef47
     0.19%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a79a0a6
     0.19%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89f0bc0c
     0.19%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a9374b3
     0.18%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a8a8077
     0.18%  p2pd     [kernel.kallsyms]  [k] 0xffffffff898bb564
     0.18%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89952d55
     0.17%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89b9ec3b
     0.17%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a62b0cf
     0.17%  p2pd     p2pd               [.] runtime.chansend
     0.17%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899d8c41
     0.17%  p2pd     p2pd               [.] runtime.schedule
     0.17%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a5e04ca
     0.17%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a79a666
     0.17%  p2pd     p2pd               [.] github.com/libp2p/go-netroute.(*router).route
     0.17%  p2pd     p2pd               [.] runtime.siftdownTimer
     0.16%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a937791
     0.16%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8990d21a
     0.16%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89fee470
     0.16%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a69f4ef
     0.16%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a8879ab
     0.16%  p2pd     p2pd               [.] runtime.(*mspan).init
     0.16%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a0ae8ea
     0.16%  p2pd     p2pd               [.] github.com/libp2p/go-libp2p/p2p/host/resource-manager.getNumFDs
     0.16%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a0aaaf5
     0.16%  p2pd     p2pd               [.] unicode/utf8.DecodeRune
     0.16%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899c6d75
     0.16%  p2pd     p2pd               [.] runtime.selectgo
     0.16%  p2pd     p2pd               [.] runtime.SetFinalizer
     0.15%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a73bc51
     0.15%  p2pd     p2pd               [.] runtime.heapSetType
     0.15%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a933940
     0.15%  p2pd     p2pd               [.] runtime.scanstack
     0.15%  p2pd     [kernel.kallsyms]  [k] 0xffffffff899c6d5e
     0.15%  p2pd     p2pd               [.] net.newLink
     0.15%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a73f360
     0.15%  p2pd     p2pd               [.] runtime.doSigPreempt
     0.15%  p2pd     p2pd               [.] github.com/libp2p/go-netroute.New
     0.14%  p2pd     p2pd               [.] net/http.(*Transport).roundTrip
     0.14%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89c5b32d
     0.14%  p2pd     p2pd               [.] runtime.(*pageCache).allocN
     0.14%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a79a085
     0.14%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a0ae866
     0.14%  p2pd     p2pd               [.] regexp/syntax.(*parser).parseInt
     0.14%  p2pd     p2pd               [.] runtime.systemstack.abi0
     0.14%  p2pd     p2pd               [.] runtime.gopark
     0.13%  p2pd     p2pd               [.] net/netip.ParseAddr
     0.13%  p2pd     p2pd               [.] runtime/internal/syscall.Syscall6
     0.13%  p2pd     p2pd               [.] runtime.reentersyscall
     0.13%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89a2664f
     0.13%  p2pd     p2pd               [.] runtime.ready
     0.13%  p2pd     p2pd               [.] runtime.shrinkstack
     0.13%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89937f2c
     0.13%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a0ae884
     0.12%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a73bc45
     0.12%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a8a943d
     0.12%  p2pd     [kernel.kallsyms]  [k] 0xffffffff89805761
     0.12%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a5e5d12
     0.12%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8a937225
     0.12%  p2pd     p2pd               [.] runtime.acquirep
     0.12%  p2pd     p2pd               [.] runtime.nanotime1.abi0
     0.12%  p2pd     p2pd               [.] runtime.(*gcControllerState).update
     0.12%  p2pd     [kernel.kallsyms]  [k] 0xffffffff8997a8b7
     0.11%  p2pd     p2pd               [.] math/rand.(*rngSource).Seed
